County,State,Total,Low Food Access (10 Miles),Low-Income Population 10 miles,Seniors,Household Vehicle Access
Clay County,Illinois,13815,2170,608,327,11
Clinton County,Illinois,37762,162,61,30,1
Coles County,Illinois,53873,1389,387,285,22
Cook County,Illinois,5194675,0,0,0,0
Crawford County,Illinois,19817,818,198,107,5
Cumberland County,Illinois,11048,92,16,8,1
De Witt County,Illinois,16561,846,228,123,4
DeKalb County,Illinois,105160,256,21,36,2
Douglas County,Illinois,19980,1284,458,289,18
DuPage County,Illinois,916924,0,0,0,0
Edgar County,Illinois,18576,4612,1505,920,100
Edwards County,Illinois,6721,1243,514,201,13
Effingham County,Illinois,34242,1894,524,270,11
Fayette County,Illinois,22140,5406,2328,901,51
Ford County,Illinois,14081,2160,739,373,30
Franklin County,Illinois,39561,617,200,84,8
Fulton County,Illinois,37069,4022,1644,721,55
Gallatin County,Illinois,5589,3706,1670,750,93
Greene County,Illinois,13886,62,9,3,0
Grundy County,Illinois,50063,0,0,0,0
Hamilton County,Illinois,8457,987,235,155,15
Hancock County,Illinois,19104,4787,1781,913,80
Hardin County,Illinois,4320,911,268,205,18
Henderson County,Illinois,7331,99,36,13,1
Henry County,Illinois,50486,3523,858,665,75
Iroquois County,Illinois,29718,6157,2020,1176,99
Jackson County,Illinois,60218,2960,1352,487,80
Jasper County,Illinois,9698,967,159,171,5
Jefferson County,Illinois,38827,3537,1397,493,54
Jersey County,Illinois,22985,997,305,175,21
Jo Daviess County,Illinois,22678,2031,553,453,40
Johnson County,Illinois,12582,948,330,169,16
Kane County,Illinois,515269,0,0,0,0
Kankakee County,Illinois,113449,3170,633,475,70
Kendall County,Illinois,114736,67,14,12,0
Knox County,Illinois,52919,2566,621,523,24
LaSalle County,Illinois,113924,4933,1282,650,61
Lake County,Illinois,703462,0,0,0,0
Lawrence County,Illinois,16833,618,89,97,2
Lee County,Illinois,36031,655,199,105,12
Livingston County,Illinois,38950,3322,1470,579,51
Logan County,Illinois,30305,5676,1542,981,49
Macon County,Illinois,110768,2226,722,299,29
Macoupin County,Illinois,47765,2419,820,450,40
Madison County,Illinois,269282,9,1,1,0
Marion County,Illinois,39437,3984,1136,691,41
Marshall County,Illinois,12640,1665,548,296,17
Mason County,Illinois,14666,3819,1227,595,62
Massac County,Illinois,15429,524,169,106,14
McDonough County,Illinois,32612,1700,664,319,27
McHenry County,Illinois,308760,0,0,0,0
McLean County,Illinois,169572,2297,614,328,31
Menard County,Illinois,12705,90,16,10,2
Mercer County,Illinois,16434,1325,551,272,55
Monroe County,Illinois,32957,139,35,18,0
Montgomery County,Illinois,30104,729,309,125,5
Morgan County,Illinois,35547,5327,1673,844,71
Moultrie County,Illinois,14846,176,62,42,5
Ogle County,Illinois,53497,119,29,11,2
Peoria County,Illinois,186494,2810,605,420,10
Perry County,Illinois,22350,362,126,73,5
Piatt County,Illinois,16729,366,54,52,2
Pike County,Illinois,16430,3264,1323,615,68
Pope County,Illinois,4470,1301,479,307,19
Pulaski County,Illinois,6161,1936,992,387,102
Putnam County,Illinois,6006,8,3,5,0
Randolph County,Illinois,33476,70,15,12,0
Richland County,Illinois,16233,444,162,76,5
Rock Island County,Illinois,147546,1190,167,207,2
Saline County,Illinois,24913,716,261,109,23
Sangamon County,Illinois,197465,4453,816,579,65
Schuyler County,Illinois,7544,969,319,181,3
Scott County,Illinois,5355,3562,1061,658,79
Shelby County,Illinois,22363,4734,1314,869,94
St. Clair County,Illinois,270056,0,0,0,0
Stark County,Illinois,5994,3752,1180,688,40
Stephenson County,Illinois,47711,230,64,27,2
Tazewell County,Illinois,135394,3042,709,489,20
Union County,Illinois,17808,471,128,63,13
Vermilion County,Illinois,81625,2993,988,476,38
Wabash County,Illinois,11947,387,78,66,0
Warren County,Illinois,17707,212,56,42,8
Washington County,Illinois,14716,1634,503,287,43
Wayne County,Illinois,16760,3320,1102,590,75
White County,Illinois,14665,814,239,153,6
Whiteside County,Illinois,58498,156,50,24,2
Will County,Illinois,677560,0,0,0,0
Williamson County,Illinois,66357,1489,576,219,11
Winnebago County,Illinois,295266,0,0,0,0
Woodford County,Illinois,38664,7,1,2,0
Adams County,Indiana,34387,1,0,0,0
Allen County,Indiana,355329,2161,505,388,35
Bartholomew County,Indiana,76794,1120,289,158,12
Benton County,Indiana,8854,153,98,26,1
Blackford County,Indiana,12766,0,0,0,0
Boone County,Indiana,56640,743,186,99,3
Brown County,Indiana,15242,450,162,62,9
Carroll County,Indiana,20155,27,8,10,0
Cass County,Indiana,38966,1088,281,167,17
Clark County,Indiana,110232,2008,686,262,53
Clay County,Indiana,26890,198,48,29,6
Clinton County,Indiana,33224,1303,272,202,4
Crawford County,Indiana,10713,1672,588,308,22
Daviess County,Indiana,31648,0,0,0,0
DeKalb County,Indiana,42223,0,0,0,0
Dearborn County,Indiana,50047,0,0,0,0
Decatur County,Indiana,25740,2784,954,410,33
Delaware County,Indiana,117671,0,0,0,0
Dubois County,Indiana,41889,1058,309,139,35
Elkhart County,Indiana,197559,0,0,0,0
Fayette County,Indiana,24277,130,54,10,0
Floyd County,Indiana,74578,0,0,0,0
Fountain County,Indiana,17240,1435,486,230,15
Franklin County,Indiana,23087,1717,733,202,60
Fulton County,Indiana,20836,1031,387,162,26
Gibson County,Indiana,33503,600,194,76,7
Grant County,Indiana,70061,251,81,34,3
Greene County,Indiana,33165,3194,1439,365,30
Hamilton County,Indiana,274569,403,29,58,1
Hancock County,Indiana,70002,885,309,121,8
Harrison County,Indiana,39364,15,7,2,0
Hendricks County,Indiana,145448,0,0,0,0
Henry County,Indiana,49462,547,227,103,4
Howard County,Indiana,82752,145,14,21,0
Huntington County,Indiana,37124,2880,850,566,19
Jackson County,Indiana,42376,1502,474,229,23
Jasper County,Indiana,33478,1,1,1,0
Jay County,Indiana,21253,0,0,0,0
Jefferson County,Indiana,32428,965,200,124,9
Jennings County,Indiana,28525,1043,361,134,15
Johnson County,Indiana,139654,0,0,0,0
Knox County,Indiana,38440,712,212,89,6
Kosciusko County,Indiana,77358,301,139,29,4
LaGrange County,Indiana,37128,0,0,0,0
LaPorte County,Indiana,111467,108,22,6,1
Lake County,Indiana,496005,0,0,0,0
Lawrence County,Indiana,46134,786,290,128,8
Madison County,Indiana,131636,0,0,0,0
Marion County,Indiana,903393,0,0,0,0
Marshall County,Indiana,47051,2219,730,273,29
Martin County,Indiana,10334,194,95,22,0
Miami County,Indiana,36903,223,60,38,1
Monroe County,Indiana,137974,200,55,34,0
Montgomery County,Indiana,38124,2770,905,438,21
Morgan County,Indiana,68894,28,6,4,0
Newton County,Indiana,14244,2076,769,363,33
Noble County,Indiana,47536,0,0,0,0
Ohio County,Indiana,6128,0,0,0,0
Orange County,Indiana,19840,41,14,1,1
Owen County,Indiana,21575,152,57,17,4
Parke County,Indiana,17339,1234,321,241,28
Perry County,Indiana,19338,4375,1009,394,41
Pike County,Indiana,12845,334,109,53,1
Porter County,Indiana,164343,0,0,0,0
Posey County,Indiana,25910,4113,1080,675,63
Pulaski County,Indiana,13402,206,83,34,1
Putnam County,Indiana,37963,972,442,145,24
Randolph County,Indiana,26171,747,250,90,10
Ripley County,Indiana,28818,136,46,27,0
Rush County,Indiana,17392,1736,624,238,18
Scott County,Indiana,24181,0,0,0,0
Shelby County,Indiana,44436,1453,337,254,24
Spencer County,Indiana,20952,28,2,4,0
St. Joseph County,Indiana,266931,5426,1570,710,86
Starke County,Indiana,23363,40,7,7,0
Steuben County,Indiana,34185,8,2,1,0
Sullivan County,Indiana,21475,2168,772,339,21
Switzerland County,Indiana,10613,488,331,70,5
Tippecanoe County,Indiana,172780,1118,497,103,11
Tipton County,Indiana,15936,521,160,82,0
Union County,Indiana,7516,0,0,0,0
Vanderburgh County,Indiana,179703,0,0,0,0
Vermillion County,Indiana,16212,372,125,64,5
Vigo County,Indiana,107848,537,200,62,8
Wabash County,Indiana,32888,10,2,2,0
Warren County,Indiana,8508,545,145,92,15
Warrick County,Indiana,59689,262,70,31,1
Washington County,Indiana,28262,2607,885,306,11
Wayne County,Indiana,68917,65,27,3,1
Wells County,Indiana,27636,43,6,5,0
White County,Indiana,24643,474,91,71,3
Whitley County,Indiana,33292,62,8,8,1
Adair County,Iowa,7682,617,177,120,9
Adams County,Iowa,4029,259,81,59,1
Allamakee County,Iowa,14330,1086,335,219,17
Appanoose County,Iowa,12887,1609,531,372,35
Audubon County,Iowa,6119,453,145,120,7
Benton County,Iowa,26076,3887,965,621,46
Black Hawk County,Iowa,131090,2712,694,471,56
Boone County,Iowa,26306,255,45,37,0
Bremer County,Iowa,24276,449,108,68,3
Buchanan County,Iowa,20958,789,172,112,11
Buena Vista County,Iowa,20260,1232,319,225,6
Butler County,Iowa,14867,1023,284,216,10
Calhoun County,Iowa,9670,2890,856,751,48
Carroll County,Iowa,20816,170,37,27,0
Cass County,Iowa,13956,2836,846,593,34
Cedar County,Iowa,18499,3938,847,694,44
Cerro Gordo County,Iowa,44151,2518,520,462,28
Cherokee County,Iowa,12072,2097,565,477,25
Chickasaw County,Iowa,12439,1297,327,241,24
Clarke County,Iowa,9286,621,186,113,4
Clay County,Iowa,16667,472,151,98,3
Clayton County,Iowa,18129,454,193,44,10
Clinton County,Iowa,49116,3540,924,561,44
Crawford County,Iowa,17096,3046,1115,600,56
Dallas County,Iowa,66135,0,0,0,0
Davis County,Iowa,8753,956,291,176,77
Decatur County,Iowa,8457,833,299,185,20
Delaware County,Iowa,17764,1033,245,171,5
Des Moines County,Iowa,40325,2692,622,478,16
Dickinson County,Iowa,16667,1026,248,251,19
Dubuque County,Iowa,93653,237,15,42,1
Emmet County,Iowa,10302,2215,814,492,17
Fayette County,Iowa,20880,217,72,36,1
Floyd County,Iowa,16303,2648,674,476,58
Franklin County,Iowa,10680,1742,473,371,17
Fremont County,Iowa,7441,5656,1903,1098,98
Greene County,Iowa,9336,773,258,171,16
Grundy County,Iowa,12453,0,0,0,0
Guthrie County,Iowa,10954,1241,346,234,11
Hamilton County,Iowa,15673,1080,257,176,5
Hancock County,Iowa,11341,1094,393,276,10
Hardin County,Iowa,17534,73,22,12,1
Harrison County,Iowa,14928,2260,642,428,33
Henry County,Iowa,20145,3420,1126,645,43
Howard County,Iowa,9566,3322,899,671,39
Humboldt County,Iowa,9815,1102,340,227,13
Ida County,Iowa,7089,89,27,13,1
Iowa County,Iowa,16355,841,168,161,19
Jackson County,Iowa,19848,3232,743,499,40
Jasper County,Iowa,36842,4027,941,706,53
Jefferson County,Iowa,16843,1416,458,206,29
Johnson County,Iowa,130882,1491,198,228,12
Jones County,Iowa,20638,2508,745,496,48
Keokuk County,Iowa,10511,2672,808,481,9
Kossuth County,Iowa,15543,1397,404,293,9
Lee County,Iowa,35862,1259,238,211,25
Linn County,Iowa,211226,4209,615,469,42
Louisa County,Iowa,11387,130,37,13,3
Lucas County,Iowa,8898,742,179,160,16
Lyon County,Iowa,11581,1478,287,196,5
Madison County,Iowa,15679,2804,529,379,33
Mahaska County,Iowa,22381,2845,924,462,35
Marion County,Iowa,33309,2484,668,360,26
Marshall County,Iowa,40648,532,127,82,9
Mills County,Iowa,15059,1220,361,228,7
Mitchell County,Iowa,10776,2222,879,435,48
Monona County,Iowa,9243,1399,405,291,13
Monroe County,Iowa,7970,708,184,170,8
Montgomery County,Iowa,10740,2016,710,422,13
Muscatine County,Iowa,42745,903,187,126,7
O'Brien County,Iowa,14398,264,70,47,4
Osceola County,Iowa,6462,1195,349,214,25
Page County,Iowa,15932,832,217,156,14
Palo Alto County,Iowa,9421,1781,560,396,36
Plymouth County,Iowa,24986,2264,505,387,53
Pocahontas County,Iowa,7310,1632,594,287,23
Polk County,Iowa,430640,134,15,19,0
Pottawattamie County,Iowa,93158,9048,1641,1383,74
Poweshiek County,Iowa,18914,181,53,43,2
Ringgold County,Iowa,5131,560,164,168,3
Sac County,Iowa,10350,1154,389,188,11
Scott County,Iowa,165224,1390,273,214,9
Shelby County,Iowa,12167,2339,574,559,18
Sioux County,Iowa,33704,35,10,5,0
Story County,Iowa,89542,695,172,90,4
Tama County,Iowa,17767,154,43,36,1
Taylor County,Iowa,6317,266,68,43,4
Union County,Iowa,12534,1508,432,246,9
Van Buren County,Iowa,7570,1838,636,343,20
Wapello County,Iowa,35625,1809,658,305,60
Warren County,Iowa,46225,3115,529,472,21
Washington County,Iowa,21704,1258,356,193,16
Wayne County,Iowa,6403,2560,1082,569,101
Webster County,Iowa,38013,407,118,89,4
Winnebago County,Iowa,10866,0,0,0,0
Winneshiek County,Iowa,21056,229,49,25,1
Woodbury County,Iowa,102172,4986,1485,910,83
Worth County,Iowa,7598,617,152,98,6
Wright County,Iowa,13229,861,271,206,3
Allen County,Kansas,13371,1606,383,351,20
Anderson County,Kansas,8102,1499,456,271,37
Atchison County,Kansas,16924,1238,518,242,28
Barber County,Kansas,4861,560,157,130,6
Barton County,Kansas,27674,2921,827,548,72
Bourbon County,Kansas,15173,2423,903,420,59
Brown County,Kansas,9984,424,157,57,1
Butler County,Kansas,65880,5414,1641,860,45
Chase County,Kansas,2790,2615,884,554,72
Chautauqua County,Kansas,3669,1344,645,308,52
Cherokee County,Kansas,21603,146,59,31,4
Cheyenne County,Kansas,2726,872,227,189,11
Clark County,Kansas,2215,2215,738,487,18
Clay County,Kansas,8535,2261,646,382,14
Cloud County,Kansas,9533,2854,1033,635,51
Coffey County,Kansas,8601,3810,1090,672,37
Comanche County,Kansas,1891,337,61,78,1
Cowley County,Kansas,36311,2793,890,537,17
Crawford County,Kansas,39134,1743,710,268,14
Decatur County,Kansas,2961,825,306,198,6
Dickinson County,Kansas,19754,1420,498,238,14
Doniphan County,Kansas,7945,2594,700,428,39
Douglas County,Kansas,110826,11,2,3,0
Edwards County,Kansas,3037,477,147,91,6
Elk County,Kansas,2882,1062,534,226,17
Ellis County,Kansas,28452,3279,726,532,88
Ellsworth County,Kansas,6497,2031,703,463,42
Finney County,Kansas,36776,1013,428,97,0
Ford County,Kansas,33848,2879,800,479,19
Franklin County,Kansas,25992,2690,820,426,18
Geary County,Kansas,34362,793,98,107,3
Gove County,Kansas,2695,2626,890,635,14
Graham County,Kansas,2597,576,171,166,0
Grant County,Kansas,7829,410,123,24,0
Gray County,Kansas,6006,2734,714,401,21
Greeley County,Kansas,1247,172,52,20,1
Greenwood County,Kansas,6689,2964,1056,652,51
Hamilton County,Kansas,2690,417,200,66,3
Harper County,Kansas,6034,1559,603,343,6
Harvey County,Kansas,34684,357,81,57,1
Haskell County,Kansas,4256,870,338,59,0
Hodgeman County,Kansas,1916,612,171,125,6
Jackson County,Kansas,13462,2051,536,284,22
Jefferson County,Kansas,19126,207,65,36,4
Jewell County,Kansas,3077,823,372,240,24
Johnson County,Kansas,544179,0,0,0,0
Kearny County,Kansas,3977,350,128,44,5
Kingman County,Kansas,7858,2456,654,540,20
Kiowa County,Kansas,2553,1015,336,167,9
Labette County,Kansas,21607,2062,581,316,20
Lane County,Kansas,1750,390,121,66,1
Leavenworth County,Kansas,76227,801,188,139,4
Lincoln County,Kansas,3241,1024,309,199,8
Linn County,Kansas,9656,1543,468,256,25
Logan County,Kansas,2756,503,135,89,2
Lyon County,Kansas,33690,3103,674,516,72
Marion County,Kansas,12660,3001,1278,598,75
Marshall County,Kansas,10117,375,102,62,1
McPherson County,Kansas,29180,3520,917,788,69
Meade County,Kansas,4575,2333,755,343,15
Miami County,Kansas,32787,1476,302,210,13
Mitchell County,Kansas,6373,1214,397,249,11
Montgomery County,Kansas,35471,3979,1484,682,112
Morris County,Kansas,5923,1952,589,364,11
Morton County,Kansas,3233,845,304,126,12
Nemaha County,Kansas,10178,1539,490,219,14
Neosho County,Kansas,16512,1037,274,165,13
Ness County,Kansas,3107,834,304,182,3
Norton County,Kansas,5671,1265,439,254,14
Osage County,Kansas,16295,2036,736,316,22
Osborne County,Kansas,3858,892,305,231,6
Ottawa County,Kansas,6091,1567,604,264,15
Pawnee County,Kansas,6973,1054,358,218,12
Phillips County,Kansas,5642,1994,549,384,20
Pottawatomie County,Kansas,21604,2273,432,368,13
Pratt County,Kansas,9656,971,296,157,11
Rawlins County,Kansas,2519,899,346,214,7
Reno County,Kansas,64511,6305,2494,1134,99
Republic County,Kansas,4980,1265,308,302,16
Rice County,Kansas,10083,1881,685,360,21
Riley County,Kansas,71115,3371,639,475,44
Rooks County,Kansas,5181,750,196,143,4
Rush County,Kansas,3307,986,351,239,14
Russell County,Kansas,6970,1491,486,384,10
Saline County,Kansas,55606,1263,310,169,10
Scott County,Kansas,4936,480,76,63,0
Sedgwick County,Kansas,498365,1442,352,233,12
Seward County,Kansas,22952,953,389,103,3
Shawnee County,Kansas,177934,137,12,24,0
Sheridan County,Kansas,2556,880,307,166,5
Sherman County,Kansas,6010,673,222,119,12
Smith County,Kansas,3853,1440,435,384,11
Stafford County,Kansas,4437,1129,360,187,4
Stanton County,Kansas,2235,236,59,46,0
Stevens County,Kansas,5724,983,303,131,15
Sumner County,Kansas,24132,1545,505,284,11
Thomas County,Kansas,7900,1093,298,179,0
Trego County,Kansas,3001,539,84,113,0
Wabaunsee County,Kansas,7053,2948,909,499,24
Wallace County,Kansas,1485,487,126,63,0
Washington County,Kansas,5799,2942,899,621,43
Wichita County,Kansas,2234,258,48,49,5
Wilson County,Kansas,9409,707,254,141,9
Woodson County,Kansas,3309,614,326,173,13
Wyandotte County,Kansas,157505,0,0,0,0
Adair County,Kentucky,18656,1206,635,184,20
Allen County,Kentucky,19956,781,321,163,10
Anderson County,Kentucky,21421,735,215,84,20
Ballard County,Kentucky,8249,2,1,0,0
Barren County,Kentucky,42173,2464,969,378,33
Bath County,Kentucky,11591,197,107,38,7
Bell County,Kentucky,28691,1204,886,186,35
Boone County,Kentucky,118811,0,0,0,0
Bourbon County,Kentucky,19985,7,3,1,0
Boyd County,Kentucky,49542,0,0,0,0
Boyle County,Kentucky,28432,867,243,127,19
Bracken County,Kentucky,8488,48,19,9,0
Breathitt County,Kentucky,13878,559,384,81,37
Breckinridge County,Kentucky,20059,2280,706,361,71
Bullitt County,Kentucky,74319,1403,459,184,46
Butler County,Kentucky,12690,1303,613,184,25
Caldwell County,Kentucky,12984,217,74,32,1
Calloway County,Kentucky,37191,2255,921,511,68
Campbell County,Kentucky,90336,0,0,0,0
Carlisle County,Kentucky,5104,404,171,50,2
Carroll County,Kentucky,10811,0,0,0,0
Carter County,Kentucky,27720,104,40,14,3
Casey County,Kentucky,15955,1514,886,231,25
Christian County,Kentucky,73955,1066,441,158,29
Clark County,Kentucky,35613,0,0,0,0
Clay County,Kentucky,21730,2327,1565,298,122
Clinton County,Kentucky,10272,164,112,24,5
Crittenden County,Kentucky,9315,8,3,1,0
Cumberland County,Kentucky,6856,134,55,30,4
Daviess County,Kentucky,96656,706,182,147,4
Edmonson County,Kentucky,12161,665,245,131,7
Elliott County,Kentucky,7852,0,0,0,0
Estill County,Kentucky,14672,9,5,2,0
Fayette County,Kentucky,295803,0,0,0,0
Fleming County,Kentucky,14348,947,444,137,21
Floyd County,Kentucky,39451,15,8,0,0
Franklin County,Kentucky,49285,299,104,36,2
Fulton County,Kentucky,6813,6,2,1,0
Gallatin County,Kentucky,8589,0,0,0,0
Garrard County,Kentucky,16912,0,0,0,0
Grant County,Kentucky,24662,1198,571,117,16
Graves County,Kentucky,37121,2984,962,446,28
Grayson County,Kentucky,25746,5057,2460,856,157
Green County,Kentucky,11258,1135,473,163,29
Greenup County,Kentucky,36910,233,123,36,0
Hancock County,Kentucky,8565,38,15,6,1
Hardin County,Kentucky,105543,3781,818,503,28
Harlan County,Kentucky,29278,1,0,0,0
Harrison County,Kentucky,18846,1732,605,197,37
Hart County,Kentucky,18199,1647,825,251,96
Henderson County,Kentucky,46250,2482,671,322,7
Henry County,Kentucky,15416,554,180,80,4
Hickman County,Kentucky,4902,183,61,39,0
Hopkins County,Kentucky,46920,1051,294,137,32
Jackson County,Kentucky,13494,1089,500,155,25
Jefferson County,Kentucky,741096,0,0,0,0
Jessamine County,Kentucky,48586,0,0,0,0
Johnson County,Kentucky,23356,736,422,113,11
Kenton County,Kentucky,159720,0,0,0,0
Knott County,Kentucky,16346,142,99,17,6
Knox County,Kentucky,31883,982,724,106,36
Larue County,Kentucky,14193,189,90,33,0
Laurel County,Kentucky,58849,699,212,91,5
Lawrence County,Kentucky,15860,1474,907,218,50
Lee County,Kentucky,7887,2,1,0,0
Leslie County,Kentucky,11310,950,559,130,59
Letcher County,Kentucky,24519,0,0,0,0
Lewis County,Kentucky,13870,161,75,18,1
Lincoln County,Kentucky,24742,4399,2205,680,152
Livingston County,Kentucky,9519,1468,634,242,75
Logan County,Kentucky,26835,2643,902,455,112
Lyon County,Kentucky,8314,274,85,94,2
Madison County,Kentucky,82916,6,2,1,0
Magoffin County,Kentucky,13333,318,193,30,12
Marion County,Kentucky,19820,413,215,50,12
Marshall County,Kentucky,31448,618,267,160,8
Martin County,Kentucky,12929,254,106,4,1
Mason County,Kentucky,17490,228,75,41,7
McCracken County,Kentucky,65565,1,0,0,0
McCreary County,Kentucky,18306,522,342,60,19
McLean County,Kentucky,9531,314,99,45,7
Meade County,Kentucky,28602,1111,393,153,6
Menifee County,Kentucky,6306,67,17,12,1
Mercer County,Kentucky,21331,425,119,43,2
Metcalfe County,Kentucky,10099,80,48,17,0
Monroe County,Kentucky,10963,381,188,75,29
Montgomery County,Kentucky,26499,0,0,0,0
Morgan County,Kentucky,13923,1059,576,130,11
Muhlenberg County,Kentucky,31499,207,55,32,5
Nelson County,Kentucky,43437,1681,571,280,14
Nicholas County,Kentucky,7135,42,21,2,1
Ohio County,Kentucky,23842,1635,687,267,57
Oldham County,Kentucky,60316,0,0,0,0
Owen County,Kentucky,10841,1007,482,121,2
Owsley County,Kentucky,4755,108,66,19,6
Pendleton County,Kentucky,14877,86,30,8,1
Perry County,Kentucky,28712,314,235,35,14
Pike County,Kentucky,65024,92,38,8,2
Powell County,Kentucky,12613,0,0,0,0
Pulaski County,Kentucky,63063,4834,1941,742,120
Robertson County,Kentucky,2282,1706,670,307,31
Rockcastle County,Kentucky,17056,78,41,16,1
Rowan County,Kentucky,23333,420,314,70,8
Russell County,Kentucky,17565,712,419,129,20
Scott County,Kentucky,47173,2248,658,255,37
Shelby County,Kentucky,42074,84,28,7,1
Simpson County,Kentucky,17327,0,0,0,0
Spencer County,Kentucky,17061,0,0,0,0
Taylor County,Kentucky,24512,536,262,86,10
Todd County,Kentucky,12460,919,406,147,34
Trigg County,Kentucky,14339,1287,229,209,32
Trimble County,Kentucky,8809,0,0,0,0
Union County,Kentucky,15007,11,3,2,0
Warren County,Kentucky,113792,51,11,4,0
Washington County,Kentucky,11717,1894,605,220,15
Wayne County,Kentucky,20813,1006,551,147,35
Webster County,Kentucky,13621,3776,1443,539,19
Whitley County,Kentucky,35637,1060,718,188,21
Wolfe County,Kentucky,7355,412,198,57,21
Woodford County,Kentucky,24939,0,0,0,0
Acadia Parish,Louisiana,61773,70,28,16,6
Allen Parish,Louisiana,25764,2744,1296,354,42
Ascension Parish,Louisiana,107215,0,0,0,0
Assumption Parish,Louisiana,23421,208,137,23,11
Avoyelles Parish,Louisiana,42073,1651,590,253,48
Beauregard Parish,Louisiana,35654,11122,4310,1499,289
Bienville Parish,Louisiana,14353,2936,1299,479,59
Bossier Parish,Louisiana,116979,1711,429,269,13
Caddo Parish,Louisiana,254969,3008,1030,415,38
Calcasieu Parish,Louisiana,192768,1590,494,256,59
Caldwell Parish,Louisiana,10132,800,392,153,15
Cameron Parish,Louisiana,6839,1750,400,231,11
Catahoula Parish,Louisiana,10407,3669,1416,512,72
Claiborne Parish,Louisiana,17195,1923,1230,339,76
Concordia Parish,Louisiana,20822,2059,909,334,73
De Soto Parish,Louisiana,26656,5628,1677,751,95
East Baton Rouge Parish,Louisiana,440171,4,2,0,0
East Carroll Parish,Louisiana,7759,561,283,90,18
East Feliciana Parish,Louisiana,20267,296,88,47,11
Evangeline Parish,Louisiana,33984,479,237,54,18
Franklin Parish,Louisiana,20767,4575,2317,864,151
Grant Parish,Louisiana,22309,4348,1973,667,62
Iberia Parish,Louisiana,73240,0,0,0,0
Iberville Parish,Louisiana,33387,188,55,35,8
Jackson Parish,Louisiana,16274,2488,1300,508,84
Jefferson Davis Parish,Louisiana,31594,565,221,67,10
Jefferson Parish,Louisiana,432552,0,0,0,0
LaSalle Parish,Louisiana,14890,790,339,130,4
Lafayette Parish,Louisiana,221578,0,0,0,0
Lafourche Parish,Louisiana,96318,27,10,8,0
Lincoln Parish,Louisiana,46735,2208,900,345,67
Livingston Parish,Louisiana,128026,0,0,0,0
Madison Parish,Louisiana,12093,426,193,62,3
Morehouse Parish,Louisiana,27979,2042,908,369,64
Natchitoches Parish,Louisiana,39566,5694,2342,1046,95
Orleans Parish,Louisiana,343829,4,1,1,0
Ouachita Parish,Louisiana,153720,1780,930,228,4
Plaquemines Parish,Louisiana,23042,3604,1969,431,144
Pointe Coupee Parish,Louisiana,22802,1,0,1,0
Rapides Parish,Louisiana,131613,21030,7057,2847,311
Red River Parish,Louisiana,9091,1084,351,225,15
Richland Parish,Louisiana,20725,1180,495,134,10
Sabine Parish,Louisiana,24233,4982,1892,884,155
St. Bernard Parish,Louisiana,35897,360,145,74,5
St. Charles Parish,Louisiana,52780,0,0,0,0
St. Helena Parish,Louisiana,11203,674,307,125,24
St. James Parish,Louisiana,22102,0,0,0,0
St. John the Baptist Parish,Louisiana,45924,67,14,9,3
St. Landry Parish,Louisiana,83384,3217,1940,533,133
St. Martin Parish,Louisiana,52160,98,30,23,0
St. Mary Parish,Louisiana,54650,197,77,41,0
St. Tammany Parish,Louisiana,233740,1467,602,239,8
Tangipahoa Parish,Louisiana,121097,1469,592,146,34
Tensas Parish,Louisiana,5252,3091,2043,538,165
Terrebonne Parish,Louisiana,111860,2840,1267,360,155
Union Parish,Louisiana,22721,7697,3228,1327,372
Vermilion Parish,Louisiana,57999,1115,343,174,17
Vernon Parish,Louisiana,52334,9600,3996,1400,204
Washington Parish,Louisiana,47168,2619,1063,411,43
Webster Parish,Louisiana,41207,3947,2325,656,89
West Baton Rouge Parish,Louisiana,23788,247,90,31,3
West Carroll Parish,Louisiana,11604,546,251,88,6
West Feliciana Parish,Louisiana,15625,5957,2322,327,13
Winn Parish,Louisiana,15313,2330,843,439,34
Androscoggin County,Maine,107702,0,0,0,0
Aroostook County,Maine,71870,6486,2884,1485,201
Cumberland County,Maine,281674,61,15,17,0
Franklin County,Maine,30768,464,236,117,17
Hancock County,Maine,54418,2177,897,299,31
Kennebec County,Maine,122151,1105,333,166,21
Knox County,Maine,39736,880,158,236,3
Lincoln County,Maine,34457,907,318,131,45
Oxford County,Maine,57833,4268,1425,770,37
Penobscot County,Maine,153923,6716,3063,1113,127
Piscataquis County,Maine,17535,780,295,204,22
Sagadahoc County,Maine,35293,436,43,133,6
Somerset County,Maine,52228,1131,528,249,10
Waldo County,Maine,38786,817,273,106,7
Washington County,Maine,32856,3641,1559,726,102
York County,Maine,197131,0,0,0,0
Allegany County,Maryland,75087,1259,528,239,19
Anne Arundel County,Maryland,537656,0,0,0,0
Baltimore County,Maryland,805029,0,0,0,0
Baltimore city,Maryland,620961,0,0,0,0
Calvert County,Maryland,88737,0,0,0,0
Caroline County,Maryland,33066,29,15,4,1
Carroll County,Maryland,167134,0,0,0,0
Cecil County,Maryland,101108,0,0,0,0
Charles County,Maryland,146551,284,50,34,4
Dorchester County,Maryland,32618,1898,547,484,40
Frederick County,Maryland,233385,0,0,0,0
Garrett County,Maryland,30097,80,28,11,1
Harford County,Maryland,244826,0,0,0,0
Howard County,Maryland,287085,0,0,0,0
Kent County,Maryland,20197,0,0,0,0
Montgomery County,Maryland,971777,0,0,0,0
Prince George's County,Maryland,863420,0,0,0,0
